Headword ;Başlık;List 
disillusion;hayal kırıklığı;6k
dismal;kasvetli;6k
disparity;eşitsizlik;6k
disproportion;orantısızlık;6k
disqualify;diskalifiye etmek;6k
disregard;dikkate almamak;6k
disseminate;yaymak;6k
dissident;muhalif;6k
distaste;hoşnutsuzluk;6k
distil;damıtmak;6k
distrust;güvensizlik;6k
donkey;eşek;6k
dormitory;yatakhane;6k
dough;hamur;6k
dove;güvercin;6k
drawback;dezavantaj;6k
duct;kanal;6k
dummy;kukla;6k
dune;kumul;6k
dwindle;azalmak;6k
dynasty;hanedan;6k
ecosystem;ekosistem;6k
eerie;ürkütücü;6k
eldest;en büyüğü;6k
elegance;zarafet;6k
eloquent;anlamlı;6k
emanate;yayılmak;6k
embargo;ambargo;6k
eminent;seçkin;6k
empathy;empati;6k
emphatic;vurgulu;6k
emulate;öykünmek;6k
enchant;büyülemek;6k
encode;kodlamak;6k
entice;baştan çıkarmak;6k
entrench;sağlamlaştırmak;6k
epidemiology;epidemiyoloji;6k
equate;eşitlemek;6k
equitable;adil;6k
equivocal;şüpheli;6k
eradicate;ortadan kaldırmak;6k
erotic;erotik;6k
err;hata;6k
esteem;saygı;6k
etch;aşındırmak;6k
eternity;sonsuzluk;6k
ethanol;etanol;6k
ethnography;etnografya;6k
euro;euro;6k
evade;kaçınmak;6k
evict;tahliye;6k
exasperate;çileden çıkarmak;6k
excel;excel;6k
excise;tüketim vergisi;6k
excursion;gezi;6k
exemplar;örnek;6k
exemplify;örneklemek;6k
exhilarate;neşelendirmek;6k
explicable;açıklanabilir;6k
extravagant;abartılı;6k
fabricate;uydurmak;6k
facet;yön;6k
falcon;şahin;6k
falter;titremek;6k
famine;kıtlık;6k
fanatic;fanatik;6k
fascist;faşist;6k
feat;ustalık;6k
feeble;zayıf;6k
felled;düştü;6k
feminism;feminizm;6k
fern;eğrelti otu;6k
fidelity;sadakat;6k
fiery;ateşli;6k
fin;yüzgeç;6k
finite;sonlu;6k
firearm;ateşli silah;6k
firefight;itfaiye;6k
firework;havai fişek;6k
fleeting;geçici;6k
flex;esnek;6k
flirt;flört;6k
flora;flora;6k
floral;çiçek;6k
fluent;akıcı;6k
fluff;tüy;6k
fluorescent;floresan;6k
flute;flüt;6k
flux;akı;6k
focal;odak;6k
foe;düşman;6k
folder;dosya;6k
folly;aptallık;6k
footing;temel;6k
forensic;adli;6k
forgo;vazgeçmek;6k
fortify;güçlendirmek;6k
fortress;kale;6k
frail;zayıf;6k
fray;yıpranma;6k
freak;çatlak;6k
freelance;serbest çalışan;6k
frenzy;çılgınlık;6k
fret;endişe;6k
friction;sürtünme;6k
fumble;becerememe;6k
futile;boşuna;6k
gag;şaka;6k
gala;gala;6k
gall;safra;6k
gallop;dörtnala koşmak;6k
gape;esnemek;6k
garbage;çöp;6k
garnish;garnitür;6k
garrison;garnizon;6k
gem;mücevher;6k
genesis;doğuş;6k
genome;genom;6k
gentry;seçkinler;6k
gigantic;devasa;6k
gin;cin;6k
glacier;buzul;6k
gland;bez;6k
glint;ışıltı;6k
glisten;pırıltı;6k
gloss;parlak;6k
glossy;parlak;6k
godfather;vaftiz babası;6k
gothic;gotik;6k
gracious;zarif;6k
graft;aşı;6k
granite;granit;6k
granny;büyükanne;6k
gratify;memnun etmek;6k
grievance;şikayet;6k
grieve;üzülmek;6k
grimace;yüz buruşturma;6k
groove;oluk;6k
grudge;kin;6k
grumble;homurdanma;6k
gulp;yudum;6k
gutter;oluk;6k
gypsy;Çingene;6k
halve;yarım;6k
hamper;engel olmak;6k
handbook;el kitabı;6k
hare;tavşan;6k
hearty;içten;6k
heath;fundalık;6k
hectare;hektar;6k
heed;dikkat etmek;6k
hegemony;hegemonya;6k
hem;etek;6k
hepatitis;hepatit;6k
heroine;kadın kahraman;6k
hesitant;tereddütlü;6k
hijack;kaçırmak;6k
hitch;aksaklık;6k
hoist;vinç;6k
holistic;bütünsel;6k
homicide;cinayet;6k
homogeneous;homojen;6k
honeymoon;balayı;6k
horrific;korkunç;6k
hose;hortum;6k
hospitality;misafirperverlik;6k
hound;tazı;6k
hub;merkez;6k
huddle;toplanmak;6k
hue;renk tonu;6k
hull;gövde;6k
humane;insancıl;6k
humanities;beşeri bilimler;6k
humid;nemli;6k
hunch;önsezi;6k
hush;sus;6k
hygiene;hijyen;6k
hymn;ilahi;6k
hype;heyecanlandırmak;6k
hypothetical;varsayımsal;6k
hysterical;histerik;6k
ibid;aynı eserde;6k
idol;idol;6k
ignorant;cahil;6k
immoral;ahlaksız;6k
impeach;suçlama;6k
impede;engellemek;6k
impending;yaklaşan;6k
impetus;ivme;6k
impoverish;yoksullaştırmak;6k
imprint;damga;6k
inadvertent;kasıtsız;6k
inaugurate;açılışını yapmak;6k
incarnate;enkarne olmak;6k
incinerate;yakmak;6k
incise;kazma;6k
inclusive;dahil;6k
incomprehensible;anlaşılmaz;6k
increment;artış;6k
incubate;kuluçkaya yatırmak;6k
indignant;kızgın;6k
indispensable;vazgeçilmez;6k
induct;devreye sokmak;6k
infantry;piyade;6k
infiltrate;sızmak;6k
influx;akın;6k
informative;bilgilendirici;6k
infringe;ihlal etmek;6k
injunction;ihtiyati tedbir;6k
inscribe;kazımak;6k
inscription;yazıt;6k
insulin;insülin;6k
insurgent;isyancı;6k
intellect;akıl;6k
interchange;takas;6k
intermittent;aralıklı;6k
intern;stajyer;6k
intolerable;dayanılmaz;6k
intricate;karmaşık;6k
intrusion;izinsiz giriş;6k
intuition;sezgi;6k
intuitive;sezgisel;6k
invert;ters çevirmek;6k
involuntary;istemsiz;6k
ironed;ütülenmiş;6k
irresistible;karşı konulamaz;6k
irrigate;sulama yapmak;6k
irritable;asabi;6k
isle;ada;6k
itch;kaşıntı;6k
jaguar;jaguar;6k
jealousy;kıskançlık;6k
jeep;jip;6k
jelly;jöle;6k
jersey;Jersey;6k
jolly;neşeli;6k
jolt;sarsıntı;6k
jug;sürahi;6k
juggle;hokkabazlık yapmak;6k
juror;jüri üyesi;6k
justly;adil olarak;6k
kettle;su ısıtıcısı;6k
kidding;şaka yapmak;6k
kite;uçurtma;6k
knob;topuz;6k
knuckle;eklem;6k
lance;mızrak;6k
lantern;fener;6k
latch;mandal;6k
latent;gizli;6k
latitude;enlem;6k
lava;lav;6k
lavender;lavanta;6k
ledge;çıkıntı;6k
lettuce;marul;6k
levy;vergi;6k
lily;zambak;6k
limousine;limuzin;6k
lineage;soy;6k
liner;astar;6k
liquidate;tasfiye etmek;6k
litre;litre;6k
liturgy;ayin;6k
lizard;kertenkele;6k
lo;işte;6k
loaf;somun;6k
loathe;nefret etmek;6k
lobster;Istakoz;6k
locality;bölge;6k
locker;soyunma;6k
locomotive;lokomotif;6k
locus;yer;6k
loft;çatı katı;6k
logistics;lojistik;6k
lottery;piyango;6k
lotus;lotus;6k
lucrative;kazançlı;6k
luggage;bagaj;6k
lumber;kereste;6k
luminous;aydınlık;6k
lurch;yalpalamak;6k
lush;bereketli;6k
magnify;büyütmek;6k
mahogany;maun;6k
maiden;kızlık;6k
makeup;makyaj yapmak;6k
maladjusted;uyumsuz;6k
malign;kötü niyetli;6k
mantle;manto;6k
maple;akçaağaç;6k
mar;mart;6k
mare;kısrak;6k
maritime;denizcilik;6k
martial;dövüş;6k
mash;püre;6k
masterpiece;şaheser;6k
materialize;gerçekleşmek;6k
maze;labirent;6k
mega;mega;6k
melancholy;melankoli;6k
memorandum;muhtıra;6k
mend;onarmak;6k
mentor;akıl hocası;6k
merchandise;mal;6k
mercury;Merkür;6k
mesh;örgü;6k
metabolism;metabolizma;6k
metaphysic;metafizik;6k
meteor;meteor;6k
meticulous;titiz;6k
micro;mikro;6k
millionaire;milyoner;6k
mince;kıyma;6k
mingle;karışmak;6k
mini;mini;6k
miraculous;mucizevi;6k
mischief;yaramazlık;6k
mole;mol;6k
mop;paspas;6k
morbid;hastalıklı;6k
mosque;cami;6k
moss;yosun;6k
moth;güve;6k
mow;biçmek;6k
muffle;muf;6k
mule;katır;6k
multicultural;çok kültürlü;6k
multitude;çokluk;6k
mumble;mırıltı;6k
mundane;sıradan;6k
muscular;kas;6k
mustard;hardal;6k
muster;toplanma;6k
myriad;sayısız;6k
mythology;mitoloji;6k
nag;dırdır;6k
nap;şekerleme;6k
nausea;bulantı;6k
necessitate;gerektirmek;6k
necklace;kolye;6k
neuron;nöron;6k
nightclub;gece kulübü;6k
nitrate;nitrat;6k
node;düğüm;6k
nostalgia;nostalji;6k
nostril;burun deliği;6k
notate;not etmek;6k
notch;çentik;6k
notwithstanding;buna rağmen;6k
nourish;beslemek;6k
novelty;yenilik;6k
novice;acemi;6k
nudge;dürtmek;6k
nylon;naylon;6k
obese;obez;6k
ominous;uğursuz;6k
omission;ihmal;6k
onwards;ileriye doğru;6k
opportune;uygun;6k
optimise;optimize etmek;6k
oracle;kehanet;6k
orchard;meyve bahçesi;6k
ordeal;çile;6k
ore;cevher;6k
oscar;oscar;6k
oscillate;salınım yapmak;6k
ostensible;göstermelik;6k
oust;kovmak;6k
outing;gezi;6k
outlaw;kanun kaçağı;6k
outskirts;kenar mahalleler;6k
outweigh;ağır basmak;6k
overcrowd;aşırı kalabalık;6k
overhaul;revizyon;6k
overhear;kulak misafiri olmak;6k
overtake;sollamak;6k
overweight;fazla kilolu;6k
oxide;oksit;6k
oyster;istiridye;6k
pagan;pagan;6k
palette;palet;6k
pamphlet;broşür;6k
pant;pantolon;6k
papal;papalık;6k
parachute;paraşüt;6k
paramount;en önemli;6k
parlour;salon;6k
parody;parodi;6k
parrot;papağan;6k
parsley;maydanoz;6k
partiality;taraflılık;6k
partition;bölme;6k
pastor;papaz;6k
pathology;patoloji;6k
patio;veranda;6k
patronage;himaye;6k
pavilion;köşk;6k
paw;pençe;6k
payroll;bordro;6k
peanut;fıstık;6k
pear;armut;6k
pebble;çakıl taşı;6k
pedagogy;pedagoji;6k
peg;çivi;6k
penis;penis;6k
perennial;çok yıllık;6k
perimeter;çevre;6k
perish;yok olmak;6k
perk;dikmek;6k
perpetrate;suç işlemek;6k
perpetual;sürekli;6k
perpetuate;sürdürmek;6k
pervasive;yaygın;6k
perverse;sapık;6k
petal;Yaprak;6k
pharmacy;eczane;6k
physiological;fizyolojik;6k
picket;kazık;6k
pickle;turşu;6k
pigment;pigment;6k
pike;turna balığı;6k
pinpoint;noktayı belirlemek;6k
planed;rendelenmiş;6k
plank;tahta;6k
plaque;plak;6k
plateau;plato;6k
plight;kötü durum;6k
plum;Erik;6k
plume;tüy;6k
plump;tombul;6k
pneumonia;akciğer iltihaplanması;6k
poach;kaçak avlanmak;6k
polo;polo;6k
polymer;polimer;6k
pornography;pornografi;6k
portable;taşınabilir;6k
portal;portal;6k
poultry;kümes hayvanları;6k
precarious;güvencesiz;6k
preclude;engellemek;6k
premiere;prömiyer;6k
presuppose;varsaymak;6k
preview;önizleme;6k
procure;temin etmek;6k
prod;dürtükleme;6k
proliferate;çoğalmak;6k
prominence;şöhret;6k
propaganda;propaganda;6k
propagate;yaymak;6k
proponent;savunucu;6k
protagonist;kahraman;6k
provisional;geçici;6k
prune;budamak;6k
psychic;psişik;6k
punctuate;noktalamak;6k
punk;punk;6k
puppet;kukla;6k
purge;tasfiye;6k
purify;arındırmak;6k
purport;iddia;6k
pyjamas;pijama;6k
quartet;dörtlü;6k
queue;sıra;6k
quilt;yorgan;6k
quiver;titreme;6k
quiz;sınav;6k
racket;raket;6k
radiance;parlaklık;6k
radius;yarıçap;6k
raft;sal;6k
ragged;yırtık pırtık;6k
ramble;başıboş dolaşmak;6k
rash;döküntü;6k
rave;çılgına dönmek;6k
razor;jilet;6k
reap;biçmek;6k
rebound;geri tepme;6k
recede;geri çekilmek;6k
receptive;anlayışlı;6k
receptor;reseptör;6k
recess;teneffüs;6k
reciprocal;karşılıklı;6k
redeem;kurtarmak;6k
redemption;kefaret;6k
reed;kamış;6k
reflex;refleks;6k
refrain;kaçınmak;6k
refund;geri ödemek;6k
refurbish;yenilemek;6k
regenerate;yeniden oluşturmak;6k
registry;kayıt defteri;6k
reimburse;tazminat ödemek;6k
reinstate;eski durumuna döndürmek;6k
reiterate;tekrarlamak;6k
relegate;küme düşmek;6k
relic;kalıntı;6k
relinquish;vazgeçmek;6k
remnant;kalıntı;6k
renounce;vazgeçmek;6k
repeal;yürürlükten kaldırmak;6k
repel;püskürtmek;6k
repertoire;repertuvar;6k
resilience;esneklik;6k
resonance;rezonans;6k
respirator;solunum cihazı;6k
retard;gerizekalı;6k
retort;imbik;6k
revel;cümbüş;6k
reverend;rahip;6k
revert;geri almak;6k
rhyme;kafiye;6k
riddle;bilmece;6k
robin;ardıç kuşu;6k
rogue;haydut;6k
rouge;allık;6k
rouse;uyandırmak;6k
rubble;moloz;6k
rugby;rugby;6k
rugged;sağlam;6k
rustle;hışırtı;6k
sacrament;kutsal tören;6k
sag;sarkma;6k
saga;destan;6k
sage;adaçayı;6k
salient;göze çarpan;6k
saloon;salon;6k
salvage;kurtarma;6k
satin;saten;6k
satire;hiciv;6k
savour;tat;6k
scalp;kafa derisi;6k
scant;yetersiz;6k
scarlet;kırmızı;6k
schizophrenic;şizofren;6k
scissors;makas;6k
scorn;küçümseme;6k
scowl;kaşlarını çatmak;6k
screech;çığlık;6k
scribble;karalama;6k
scroll;taslak;6k
secrecy;gizlilik;6k
secrete;salgılamak;6k
seep;sızıntı;6k
seizure;nöbet;6k
sensory;duyusal;6k
sensual;şehvetli;6k
serene;sakin;6k
sewer;kanalizasyon;6k
shear;kırpmak;6k
sherry;sherry;6k
shimmer;ışıltı;6k
shortcoming;eksiklik;6k
shovel;kürek;6k
shrewd;kurnaz;6k
shriek;çığlık;6k
shroud;kefen;6k
shutter;deklanşör;6k
sic;aynen;6k
sideline;kenar çizgisi;6k
sift;elemek;6k
silhouette;siluet;6k
sinister;uğursuz;6k
siren;siren;6k
skim;yağsız;6k
skinny;sıska;6k
slay;öldürmek;6k
sleek;şık;6k
sling;sapan;6k
slipper;terlik;6k
slippery;kaygan;6k
slit;yarık;6k
slop;eğim;6k
slug;sümüklüböcek;6k
slum;gecekondu;6k
sly;kurnaz;6k
snag;engel;6k
snarl;hırıltı;6k
snipe;su çulluğu;6k
snort;homurdanmak;6k
soda;soda;6k
solicit;rica etmek;6k
solvent;çözücü;6k
sophistication;karmaşıklık;6k
souvenir;hatıra;6k
sparse;seyrek;6k
spectre;hayalet;6k
sperm;sperm;6k
splinter;kıymık;6k
sponge;sünger;6k
spreadsheet;elektronik tablo;6k
squadron;filo;6k
squeak;gıcırdamak;6k
squint;şaşı;6k
squirrel;sincap;6k
staple;zımba;6k
stature;boy;6k
steroid;steroid;6k
stew;güveç;6k
stifle;bastırmak;6k
stipulate;şart koşmak;6k
stoop;eğilmek;6k
stout;sağlam;6k
strait;boğaz;6k
stranded;mahsur kalmış;6k
strangle;boğmak;6k
streamline;düzene koymak;6k
stringent;sıkı;6k
sturdy;sağlam;6k
subdivide;alt bölümlere ayırmak;6k
subdue;boyun eğdirmek;6k
submerge;batırmak;6k
subside;azalmak;6k
subsist;hayatta kalmak;6k
subvert;yıkmak;6k
succumb;yenik düşmek;6k
suffice;yeterli;6k
surpass;aşmak;6k
surreal;gerçeküstü;6k
swarm;sürü;6k
swoop;baskın;6k
syllable;hece;6k
syndicate;sendika;6k
synonym;eşanlamlı;6k
syrup;şurup;6k
tab;sekme;6k
taboo;tabu;6k
tally;çetele;6k
tanker;tanker;6k
tart;tart;6k
tattoo;dövme;6k
taunt;alay;6k
tavern;meyhane;6k
terminology;terminoloji;6k
theologian;ilahiyatçı;6k
thorn;diken;6k
thrash;çöp;6k
throb;çarpıntı;6k
thwart;engellemek;6k
tickle;gıdıklamak;6k
tier;aşama;6k
topple;devrilmek;6k
torque;tork;6k
tout;çığırtkanlık;6k
toxin;toksin;6k
trafficked;ticareti yapılan;6k
transcribe;uyarlamak;6k
transient;geçici;6k
trash;çöp;6k
traverse;çaprazlamak;6k
treachery;hıyanet;6k
trek;yürüyüş;6k
tribune;tribün;6k
trinity;üçlü;6k
trolley;tramvay;6k
trump;koz;6k
tsar;çar;6k
tuberculosis;tüberküloz;6k
tuition;öğrenim ücreti;6k
tuna;ton balığı;6k
turbine;türbin;6k
turmoil;kargaşa;6k
twilight;alacakaranlık;6k
twine;sicim;6k
twofold;iki kat;6k
typewrite;daktiloyla yazmak;6k
ultraviolet;ultraviyole;6k
umpire;hakem;6k
underpin;desteklemek;6k
understate;küçümsemek;6k
underway;devam ediyor;6k
underwrite;sigortalamak;6k
unilateral;tek taraflı;6k
unison;uyum;6k
unravel;çözülmek;6k
unrest;huzursuzluk;6k
unsettle;huzursuz etmek;6k
upheaval;ayaklanma;6k
uprising;ayaklanma;6k
uranium;uranyum;6k
vacancy;boşluk;6k
vaccinate;aşılamak;6k
vagina;vajina;6k
vain;boşuna;6k
vandal;Vandal;6k
vanity;gösteriş;6k
vapour;buhar;6k
vault;kasa;6k
vector;vektör;6k
vibrant;canlı;6k
vicinity;civar;6k
villain;kötü adam;6k
vitality;canlılık;6k
vomit;kusma;6k
wade;yürümek;6k
waive;feragat;6k
walnut;ceviz;6k
wane;zayıflamak;6k
warden;gardiyan;6k
warp;çözgü;6k
warranty;garanti;6k
wasp;yaban arısı;6k
waver;tereddüt etmek;6k
whine;sızlanmak;6k
whirl;koşuşturma;6k
whore;fahişe;6k
wield;kullanmak;6k
wig;peruk;6k
willow;söğüt;6k
wince;çekinme;6k
wither;solmak;6k
withstand;dayanmak;6k
wobble;sallanmak;6k
woe;yazık;6k
woo;woo;6k
wrench;İngiliz anahtarı;6k
wretch;zavallı;6k
wry;alaycı;6k
yank;çekmek;6k
yarn;iplik;6k
yawn;esnemek;6k
yearn;özlemek;6k
yeast;maya;6k
yen;yen;6k
zeal;gayret;6k
zoom;yakınlaştırma;6k
abate;azaltmak;7k
abbreviate;kısaltmak;7k
aborigine;yerli;7k
accentuate;vurgulamak;7k
acorn;meşe palamudu;7k
acquiesce;razı olmak;7k
acrylic;akrilik;7k
adamant;kararlı;7k
adept;usta;7k
adjourn;ertelemek;7k
adjudicate;hüküm vermek;7k
admonish;uyarmak;7k
adultery;zina;7k
affidavit;yeminli beyan;7k
agile;atik;7k
allegory;alegori;7k
alloy;alaşım;7k
allude;ima etmek;7k
almighty;Yüce;7k
alumni;mezunlar;7k
amass;yığın;7k
ambience;ortam;7k
amen;amin;7k
amidst;ortasında;7k
amino;amino;7k
ammonia;amonyak;7k
amphibian;amfibi;7k
anaemia;anemi;7k
anal;anal;7k
angular;açısal;7k
anonymity;anonimlik;7k
anorexia;anoreksiya;7k
antagonist;rakip;7k
antenna;anten;7k
anthem;marş;7k
apathy;ilgisizlik;7k
apocalypse;kıyamet;7k
apologetic;özür dileyen;7k
appease;yatıştırmak;7k
apricot;kayısı;7k
arcade;çarşı;7k
archer;okçu;7k
archetype;arketip;7k
ardent;ateşli;7k
arid;kurak;7k
aristocracy;aristokrasi;7k
arithmetic;aritmetik;7k
ark;gemi;7k
arson;kundakçılık;7k
artifact;eser;7k
asbestos;asbest;7k
aspirin;aspirin;7k
assay;tahlil;7k
astound;hayrete düşürmek;7k
astronaut;astronot;7k
astronomical;astronomik;7k
atheist;ateist;7k
atlas;Atlas;7k
atop;tepede;7k
atrocity;vahşet;7k
attest;tasdik etmek;7k
auditorium;oditoryum;7k
autograph;imza;7k
auxiliary;ek;7k
avail;yaramak;7k
avalanche;çığ;7k
averse;isteksiz;7k
avid;hırslı;7k
badger;porsuk;7k
bale;balya;7k
ballad;balad;7k
bamboo;bambu;7k
baptise;vaftiz etmek;7k
baptism;vaftiz;7k
barbarian;barbar;7k
barley;arpa;7k
baroque;barok;7k
barrage;baraj;7k
barricade;barikat;7k
basque;Bask;7k
beacon;işaret ışığı;7k
beak;gaga;7k
benchmark;kalite testi;7k
bereave;yas tutmak;7k
berth;yatak;7k
bestow;ihsan etmek;7k
beverage;içecek;7k
bile;safra;7k
bilingual;iki dilli;7k
bingo;Bingo;7k
biotechnology;biyoteknoloji;7k
blackmail;şantaj;7k
blah;filan;7k
blazer;ceket;7k
blight;yanıklık;7k
blitz;yıldırım;7k
bloke;herif;7k
blunder;gaf;7k
bonfire;şenlik ateşi;7k
booze;içki;7k
bounty;ödül;7k
bouquet;buket;7k
boutique;butik;7k
bracelet;bileklik;7k
bridle;dizgin;7k
brilliance;parlaklık;7k
brittle;kırılgan;7k
brook;dere;7k
broom;süpürge;7k
broth;et suyu;7k
buff;devetüyü;7k
buffalo;manda;7k
bulldoze;gözdağı vermek;7k
bunk;ranza;7k
burgeon;tomurcuk;7k
busted;yakalanmış;7k
cad;cad;7k
caddie;yardımcı;7k
calibrate;kalibre etmek;7k
cam;kam;7k
camouflage;kamuflaj;7k
candid;samimi;7k
canteen;kantin;7k
canvass;tuval;7k
canyon;kanyon;7k
carcass;leş;7k
carcinoma;karsinom;7k
cardiovascular;kardiyovasküler;7k
caricature;karikatür;7k
carp;sazan;7k
carton;karton;7k
casserole;güveç;7k
caste;kast;7k
categorical;kategorik;7k
caterpillar;tırtıl;7k
catfish;yayın balığı;7k
cavalier;şövalye;7k
cedar;sedir;7k
celery;kereviz;7k
cerebral;beyinsel;7k
cervix;serviks, rahim ağzı;7k
char;karakter;7k
chemotherapy;kemoterapi;7k
chic;şık;7k
chime;çan;7k
chisel;keski;7k
chlorine;klor;7k
choral;koro;7k
cider;elma şarabı;7k
cinnamon;tarçın;7k
clad;giyinmiş;7k
clamber;tırmanmak;7k
clamour;yaygara;7k
cleric;din adamı;7k
clockwise;saat yönünde;7k
clot;pıhtı;7k
clout;Nüfuz;7k
coax;ikna edici;7k
cod;morina;7k
coexist;bir arada var olmak;7k
coherence;tutarlılık;7k
cohesion;uyum;7k
cohesive;bağlı;7k
colt;tay;7k
coma;koma;7k
combustion;yanma;7k
commando;komando;7k
compassionate;şefkatli;7k
complexion;cilt;7k
compulsion;zorlama;7k
concerto;konçerto;7k
conciliate;uzlaşmak;7k
concoct;uydurma;7k
concur;aynı fikirde olmak;7k
confound;karıştırmak;7k
conscientious;vicdanlı;7k
conscript;askere almak;7k
conservatory;konservatuvar;7k
consign;emanet etmek;7k
constellation;takımyıldızı;7k
consul;konsolos;7k
contraception;doğum kontrolü;7k
contraceptive;doğum kontrolü;7k
contractual;sözleşmeye bağlı;7k
contrive;entrika etmek;7k
convent;manastır;7k
convulse;sarsılmak;7k
cookie;kurabiye;7k
cork;mantar;7k
cosmology;kozmoloji;7k
cosmopolitan;kozmopolit;7k
cosmos;evren;7k
cot;bebek karyolası;7k
cove;koy;7k
covet;imrenmek;7k
coward;korkak;7k
crag;kayalık;7k
crank;krank;7k
craze;çılgınlık;7k
creed;inanç;7k
creole;Kreol;7k
crescent;hilal;7k
crimson;kızıl;7k
crocodile;timsah;7k
crucifix;haç;7k
cucumber;salatalık;7k
cuddle;sarılmak;7k
culinary;mutfak;7k
culprit;suçlu;7k
cunning;kurnaz;7k
curt;kısa;7k
customise;özelleştirmek;7k
dab;kurulamak;7k
dagger;hançer;7k
dame;kadın;7k
daze;şaşkınlık;7k
deceptive;aldatıcı;7k
decipher;şifreyi çözmek;7k
decode;şifreyi çözmek;7k
decompose;ayrışmak;7k
deconstruct;yapıyı bozmak;7k
decor;dekor;7k
deduce;sonuç çıkarmak;7k
defiance;meydan okuma;7k
deflate;havasını söndürmek;7k
deft;becerikli;7k
delicacy;incelik;7k
delineate;tasvir etmek;7k
demolition;yıkım;7k
denim;kot;7k
deodorize;kokuyu gidermek;7k
deplore;üzülmek;7k
depreciate;amortisman;7k
desolate;ıssız;7k
destabilize;istikrarsızlaştırmak;7k
detergent;deterjan;7k
detonate;patlatmak;7k
detract;azaltmak;7k
devoid;yoksun;7k
devolve;devretmek;7k
devour;yutmak;7k
dialectic;diyalektik;7k
discomfort;rahatsızlık;7k
disconcert;huzursuzluk;7k
discontinue;son vermek;7k
disinfect;dezenfekte etmek;7k
dislocate;yerinden çıkmak;7k
disorientate;yönünü şaşırmak;7k
disparate;farklı;7k
dispel;dağıtmak;7k
dissect;incelemek;7k
dissertation;tez;7k
dissipate;dağılmak;7k
dissolution;çözünme;7k
distal;uzak;7k
divinity;tanrısallık;7k
dogged;inatçı;7k
dominion;hakimiyet;7k
donned;bağışlanmış;7k
dope;uyarıcı vermek;7k
downright;büsbütün;7k
doze;uyuklamak;7k
drake;ejder;7k
drawl;çekicilik;7k
dredge;taramak;7k
dresser;şifoniyer;7k
dribble;salya sürmek;7k
drizzle;çiseleyen yağmur;7k
drone;dron;7k
droop;sarkmak;7k
duchess;düşes;7k
duo;ikili;7k
dysfunction;işlev bozukluğu;7k
ebb;geri çekilme;7k
ecclesiastic;dini;7k
ecumenical;ekümenik;7k
egalitarian;eşitlikçi;7k
eject;dışarı çıkarmak;7k
electrode;elektrot;7k
electromagnetic;elektromanyetik;7k
elm;karaağaç;7k
elongate;uzatmak;7k
elude;kurtulmak;7k
emancipate;özgürleştirmek;7k
embellish;süslemek;7k
emblem;amblem;7k
emerald;zümrüt;7k
enamel;emaye;7k
enclave;yerleşim bölgesi;7k
encroach;tecavüz etmek;7k
encyclopedia;ansiklopedi;7k
endear;sevdirmek;7k
endoscope;endoskop;7k
engender;doğurmak;7k
engulf;yutmak;7k
entrant;katılımcı;7k
envoy;elçi;7k
episcopal;piskoposluk;7k
equator;ekvator;7k
errand;ayak işi;7k
erratic;düzensiz;7k
erroneous;hatalı;7k
espouse;eş;7k
estrange;yabancı;7k
estuary;haliç;7k
ethic;etik;7k
ethos;ahlak;7k
exacted;zorunlu;7k
excerpt;alıntı;7k
exhort;öğüt vermek;7k
existential;varoluşsal;7k
exodus;göç;7k
expedient;uygun;7k
expend;harcamak;7k
exposition;sergi;7k
expulsion;sınır dışı edilme;7k
extinguish;söndürmek;7k
extradite;iade etmek;7k
extravagance;savurganlık;7k
exuberant;coşkulu;7k
fable;masal;7k
facade;cephe;7k
fairway;çim yol;7k
farce;saçmalık;7k
fascism;faşizm;7k
fathom;kulaç;7k
fauna;fauna;7k
ferment;fermente etmek;7k
ferocious;vahşi;7k
ferret;gelincik;7k
fervent;ateşli;7k
fetal;fetal;7k
feud;kavga;7k
feudal;feodal;7k
finale;final;7k
fixate;sabitlemek;7k
flair;yetenek;7k
flea;pire;7k
fledge;tüylenmek;7k
flinch;çekinmek;7k
flurry;telaş;7k
font;yazı tipi;7k
footage;görüntüleri;7k
forage;yem;7k
foreman;ustabaşı;7k
forfeit;ceza;7k
formative;biçimlendirici;7k
foyer;fuaye;7k
franc;Frank;7k
fraternity;kardeşlik;7k
fraudulent;hileli;7k
fresco;fresk;7k
fruitful;verimli;7k
fugitive;firari;7k
funk;korkak;7k
funnel;huni;7k
furnace;fırın;7k
furrow;saban izi;7k
fuzz;tüy;7k
gable;üçgen çatı;7k
gadget;alet;7k
galley;mutfak;7k
galvanize;galvaniz;7k
gamma;gama;7k
gangster;gangster;7k
gastric;mide;7k
gastrointestinal;mide-bağırsak;7k
genital;cinsel organ;7k
genocide;soykırım;7k
germ;mikrop;7k
ghetto;getto;7k
gild;tezhip;7k
glean;toplamak;7k
glee;neşe;7k
glimmer;parıltı;7k
glucose;glikoz;7k
gorge;geçit;7k
governance;yönetişim;7k
gradient;degrade;7k
graffiti;duvar yazısı;7k
grammatical;gramer;7k
grapple;kıskaç;7k
gravely;ciddi bir şekilde;7k
gravy;sos;7k
grenade;el bombası;7k
groin;kasık;7k
grope;okşamak;7k
grotesque;grotesk;7k
guinea;Gine;7k
guise;kılık;7k
gull;martı;7k
gully;oluk;7k
guru;guru;7k
gush;fışkırmak;7k
gust;rüzgar;7k
habitual;alışılmış;7k
haemorrhage;kanama;7k
hallmark;ayırt edici özellik;7k
hamlet;köy;7k
handcuff;kelepçe;7k
